percent_middle,sentence2,workerid,sentence1,modal1,rating2,rating_other,type,image,valence,rating1,modal2,reverse_sent_order,Answer.condition,Answer.time_in_minutes
,You might get a window seat,0,You'll probably get a window seat,,1,0,test,./stim/images/4_window_40_v1.png,,0,,,undefined,6.936066666666667
100,You might get an aisle seat,0,You'll probably get an aisle seat,probably,0,1,aisle-positive,./stim/images/27_aisle_100_v2.png,positive,0,might,1,undefined,6.936066666666667
0,You might get a middle seat,0,You'll probably get a middle seat,probably,0,1,aisle-negative,./stim/images/28_aisle_0_v10.png,negative,0,might,1,undefined,6.936066666666667
100,You might get a middle seat,0,You'll probably get a middle seat,probably,0,0,window-negative,./stim/images/18_window_100_v4.png,negative,1,might,1,undefined,6.936066666666667
75,You might get a middle seat,0,You'll probably get a middle seat,probably,0.55,0,window-negative,./stim/images/16_window_75_v9.png,negative,0.44999999999999996,might,1,undefined,6.936066666666667
10,You might get an aisle seat,0,You'll probably get an aisle seat,probably,0.59,0,aisle-positive,./stim/images/20_aisle_10_v10.png,positive,0.4099999999999999,might,1,undefined,6.936066666666667
50,You might get a middle seat,0,You'll probably get a middle seat,probably,0.61,0,aisle-negative,./stim/images/32_aisle_50_v4.png,negative,0.3899999999999999,might,1,undefined,6.936066666666667
25,You might get a middle seat,0,You'll probably get a middle seat,probably,0.5,0,aisle-negative,./stim/images/30_aisle_25_v5.png,negative,0.5,might,1,undefined,6.936066666666667
25,You might get a middle seat,0,You'll probably get a middle seat,probably,0.66,0.3400000000000001,window-negative,./stim/images/12_window_25_v6.png,negative,0,might,1,undefined,6.936066666666667
10,You might get a window seat,0,You'll probably get a window seat,probably,0.71,0.29000000000000004,window-positive,./stim/images/2_window_10_v7.png,positive,0,might,1,undefined,6.936066666666667
90,You might get a middle seat,0,You'll probably get a middle seat,probably,0,0,aisle-negative,./stim/images/35_aisle_90_v1.png,negative,1,might,1,undefined,6.936066666666667
50,You might get a window seat,0,You'll probably get a window seat,probably,0.51,0,window-positive,./stim/images/5_window_50_v9.png,positive,0.49,might,1,undefined,6.936066666666667
0,You might get a middle seat,0,You'll probably get a middle seat,probably,0,1,window-negative,./stim/images/10_window_0_v7.png,negative,0,might,1,undefined,6.936066666666667
0,You might get an aisle seat,0,You'll probably get an aisle seat,probably,0.5,0,aisle-positive,./stim/images/19_aisle_0_v9.png,positive,0.5,might,1,undefined,6.936066666666667
25,You might get a window seat,0,You'll probably get a window seat,probably,0.49,0.5099999999999999,window-positive,./stim/images/3_window_25_v9.png,positive,0,might,1,undefined,6.936066666666667
60,You might get an aisle seat,0,You'll probably get an aisle seat,probably,0.5,0.4999999999999999,aisle-positive,./stim/images/24_aisle_60_v1.png,positive,0,might,1,undefined,6.936066666666667
90,You might get a middle seat,0,You'll probably get a middle seat,probably,0,0,window-negative,./stim/images/17_window_90_v7.png,negative,1,might,1,undefined,6.936066666666667
90,You might get an aisle seat,0,You'll probably get an aisle seat,probably,0,1,aisle-positive,./stim/images/26_aisle_90_v10.png,positive,0,might,1,undefined,6.936066666666667
60,You might get a middle seat,0,You'll probably get a middle seat,probably,0,0.29999999999999993,window-negative,./stim/images/15_window_60_v7.png,negative,0.7,might,1,undefined,6.936066666666667
40,You might get a middle seat,0,You'll probably get a middle seat,probably,0.52,0.4800000000000001,window-negative,./stim/images/13_window_40_v8.png,negative,0,might,1,undefined,6.936066666666667
75,You might get a middle seat,0,You'll probably get a middle seat,probably,0,0.44000000000000006,aisle-negative,./stim/images/34_aisle_75_v8.png,negative,0.56,might,1,undefined,6.936066666666667
75,You might get a window seat,0,You'll probably get a window seat,probably,0.48,0.52,window-positive,./stim/images/7_window_75_v2.png,positive,0,might,1,undefined,6.936066666666667
40,You might get a window seat,0,You'll probably get a window seat,probably,0.53,0.47,window-positive,./stim/images/4_window_40_v8.png,positive,0,might,1,undefined,6.936066666666667
10,You might get a middle seat,0,You'll probably get a middle seat,probably,0.45,0.5499999999999999,aisle-negative,./stim/images/29_aisle_10_v9.png,negative,0,might,1,undefined,6.936066666666667
0,You might get a window seat,0,You'll probably get a window seat,probably,0,0,window-positive,./stim/images/1_window_0_v9.png,positive,1,might,1,undefined,6.936066666666667
100,You might get a middle seat,0,You'll probably get a middle seat,probably,0,0,aisle-negative,./stim/images/36_aisle_100_v4.png,negative,1,might,1,undefined,6.936066666666667
40,You might get a middle seat,0,You'll probably get a middle seat,probably,0.54,0.4600000000000001,aisle-negative,./stim/images/31_aisle_40_v6.png,negative,0,might,1,undefined,6.936066666666667
50,You might get a middle seat,0,You'll probably get a middle seat,probably,0.52,0.48,window-negative,./stim/images/14_window_50_v9.png,negative,0,might,1,undefined,6.936066666666667
25,You might get an aisle seat,0,You'll probably get an aisle seat,probably,0.52,0.4800000000000001,aisle-positive,./stim/images/21_aisle_25_v9.png,positive,0,might,1,undefined,6.936066666666667
40,You might get an aisle seat,0,You'll probably get an aisle seat,probably,0.5,0.5,aisle-positive,./stim/images/22_aisle_40_v3.png,positive,0,might,1,undefined,6.936066666666667
10,You might get a middle seat,0,You'll probably get a middle seat,probably,0.5,0.5,window-negative,./stim/images/11_window_10_v7.png,negative,0,might,1,undefined,6.936066666666667
90,You might get a window seat,0,You'll probably get a window seat,probably,0,1,window-positive,./stim/images/8_window_90_v2.png,positive,0,might,1,undefined,6.936066666666667
75,You might get an aisle seat,0,You'll probably get an aisle seat,probably,0.5,0.5,aisle-positive,./stim/images/25_aisle_75_v10.png,positive,0,might,1,undefined,6.936066666666667
50,You might get an aisle seat,0,You'll probably get an aisle seat,probably,0.51,0.48,aisle-positive,./stim/images/23_aisle_50_v9.png,positive,0,might,1,undefined,6.936066666666667
60,You might get a window seat,0,You'll probably get a window seat,probably,0.51,0.49,window-positive,./stim/images/6_window_60_v9.png,positive,0,might,1,undefined,6.936066666666667
100,You might get a window seat,0,You'll probably get a window seat,probably,0,1,window-positive,./stim/images/9_window_100_v3.png,positive,0,might,1,undefined,6.936066666666667
60,You might get a middle seat,0,You'll probably get a middle seat,probably,0.47,0,aisle-negative,./stim/images/33_aisle_60_v2.png,negative,0.53,might,1,undefined,6.936066666666667
,You might get a window seat,1,You'll probably get a window seat,,0.5499999999999999,0.020000000000000018,test,./stim/images/4_window_40_v1.png,,0.43,,,undefined,13.68585
60,You might get a middle seat,1,You'll probably get a middle seat,probably,0.46,0.17999999999999994,aisle-negative,./stim/images/33_aisle_60_v5.png,negative,0.36,might,0,undefined,13.68585
40,You might get an aisle seat,1,You'll probably get an aisle seat,probably,0.41,0.18999999999999995,aisle-positive,./stim/images/22_aisle_40_v10.png,positive,0.4,might,0,undefined,13.68585
25,You might get a window seat,1,You'll probably get a window seat,probably,0.33,0.11999999999999988,window-positive,./stim/images/3_window_25_v8.png,positive,0.55,might,0,undefined,13.68585
10,You might get a window seat,1,You'll probably get a window seat,probably,0.31,0.21999999999999997,window-positive,./stim/images/2_window_10_v10.png,positive,0.47,might,0,undefined,13.68585
75,You might get a middle seat,1,You'll probably get a middle seat,probably,0.26,0.54,window-negative,./stim/images/16_window_75_v9.png,negative,0.19999999999999996,might,0,undefined,13.68585
100,You might get a middle seat,1,You'll probably get a middle seat,probably,0.43,0.33000000000000007,window-negative,./stim/images/18_window_100_v7.png,negative,0.24,might,0,undefined,13.68585
90,You might get a window seat,1,You'll probably get a window seat,probably,0.3,0.1100000000000001,window-positive,./stim/images/8_window_90_v6.png,positive,0.59,might,0,undefined,13.68585
60,You might get a window seat,1,You'll probably get a window seat,probably,0.43,0.10000000000000009,window-positive,./stim/images/6_window_60_v4.png,positive,0.47,might,0,undefined,13.68585
0,You might get a middle seat,1,You'll probably get a middle seat,probably,0.38,0.3999999999999999,window-negative,./stim/images/10_window_0_v2.png,negative,0.22,might,0,undefined,13.68585
0,You might get a middle seat,1,You'll probably get a middle seat,probably,0.32999999999999985,0.5000000000000001,aisle-negative,./stim/images/28_aisle_0_v5.png,negative,0.17,might,0,undefined,13.68585
25,You might get a middle seat,1,You'll probably get a middle seat,probably,0.29,0.5499999999999999,aisle-negative,./stim/images/30_aisle_25_v1.png,negative,0.16,might,0,undefined,13.68585
10,You might get an aisle seat,1,You'll probably get an aisle seat,probably,0.36,0.17999999999999983,aisle-positive,./stim/images/20_aisle_10_v9.png,positive,0.46,might,0,undefined,13.68585
0,You might get a window seat,1,You'll probably get a window seat,probably,0.39,0.21999999999999997,window-positive,./stim/images/1_window_0_v5.png,positive,0.39,might,0,undefined,13.68585
25,You might get an aisle seat,1,You'll probably get an aisle seat,probably,0.31,0.2500000000000001,aisle-positive,./stim/images/21_aisle_25_v5.png,positive,0.44,might,0,undefined,13.68585
75,You might get an aisle seat,1,You'll probably get an aisle seat,probably,0.32,0.28,aisle-positive,./stim/images/25_aisle_75_v8.png,positive,0.4,might,0,undefined,13.68585
0,You might get an aisle seat,1,You'll probably get an aisle seat,probably,0.29999999999999993,0.27,aisle-positive,./stim/images/19_aisle_0_v4.png,positive,0.43,might,0,undefined,13.68585
40,You might get a window seat,1,You'll probably get a window seat,probably,0.31,0.29000000000000004,window-positive,./stim/images/4_window_40_v3.png,positive,0.4,might,0,undefined,13.68585
10,You might get a middle seat,1,You'll probably get a middle seat,probably,0.2899999999999999,0.57,window-negative,./stim/images/11_window_10_v8.png,negative,0.14,might,0,undefined,13.68585
100,You might get a middle seat,1,You'll probably get a middle seat,probably,0.38,0.4600000000000001,aisle-negative,./stim/images/36_aisle_100_v2.png,negative,0.16,might,0,undefined,13.68585
50,You might get a window seat,1,You'll probably get a window seat,probably,0.3,0.3500000000000001,window-positive,./stim/images/5_window_50_v2.png,positive,0.35,might,0,undefined,13.68585
100,You might get an aisle seat,1,You'll probably get an aisle seat,probably,0.38,0.2400000000000001,aisle-positive,./stim/images/27_aisle_100_v6.png,positive,0.38,might,0,undefined,13.68585
10,You might get a middle seat,1,You'll probably get a middle seat,probably,0.34,0.5000000000000001,aisle-negative,./stim/images/29_aisle_10_v7.png,negative,0.16,might,0,undefined,13.68585
90,You might get an aisle seat,1,You'll probably get an aisle seat,probably,0.33,0.24,aisle-positive,./stim/images/26_aisle_90_v5.png,positive,0.43,might,0,undefined,13.68585
100,You might get a window seat,1,You'll probably get a window seat,probably,0.34,0.2400000000000001,window-positive,./stim/images/9_window_100_v6.png,positive,0.42,might,0,undefined,13.68585
50,You might get a middle seat,1,You'll probably get a middle seat,probably,0.27,0.59,window-negative,./stim/images/14_window_50_v6.png,negative,0.14,might,0,undefined,13.68585
40,You might get a middle seat,1,You'll probably get a middle seat,probably,0.36,0.48,window-negative,./stim/images/13_window_40_v2.png,negative,0.16,might,0,undefined,13.68585
50,You might get a middle seat,1,You'll probably get a middle seat,probably,0.32,0.56,aisle-negative,./stim/images/32_aisle_50_v4.png,negative,0.12,might,0,undefined,13.68585
60,You might get an aisle seat,1,You'll probably get an aisle seat,probably,0.33,0.25,aisle-positive,./stim/images/24_aisle_60_v2.png,positive,0.42,might,0,undefined,13.68585
50,You might get an aisle seat,1,You'll probably get an aisle seat,probably,0.37,0.19999999999999996,aisle-positive,./stim/images/23_aisle_50_v4.png,positive,0.43,might,0,undefined,13.68585
90,You might get a middle seat,1,You'll probably get a middle seat,probably,0.36,0.49,window-negative,./stim/images/17_window_90_v4.png,negative,0.15,might,0,undefined,13.68585
75,You might get a window seat,1,You'll probably get a window seat,probably,0.37,0.21999999999999997,window-positive,./stim/images/7_window_75_v7.png,positive,0.41,might,0,undefined,13.68585
60,You might get a middle seat,1,You'll probably get a middle seat,probably,0.4,0.31999999999999984,window-negative,./stim/images/15_window_60_v2.png,negative,0.28,might,0,undefined,13.68585
75,You might get a middle seat,1,You'll probably get a middle seat,probably,0.29,0.6,aisle-negative,./stim/images/34_aisle_75_v4.png,negative,0.11,might,0,undefined,13.68585
90,You might get a middle seat,1,You'll probably get a middle seat,probably,0.33,0.54,aisle-negative,./stim/images/35_aisle_90_v9.png,negative,0.13,might,0,undefined,13.68585
25,You might get a middle seat,1,You'll probably get a middle seat,probably,0.35,0.4999999999999999,window-negative,./stim/images/12_window_25_v9.png,negative,0.15,might,0,undefined,13.68585
40,You might get a middle seat,1,You'll probably get a middle seat,probably,0.35,0.51,aisle-negative,./stim/images/31_aisle_40_v3.png,negative,0.14,might,0,undefined,13.68585
,You might get a window seat,2,You'll probably get a window seat,,0.6099999999999999,0,test,./stim/images/4_window_40_v1.png,,0.39,,,undefined,6.0255
25,You might get an aisle seat,2,You'll probably get an aisle seat,probably,0.63,0,aisle-positive,./stim/images/21_aisle_25_v9.png,positive,0.37,might,1,undefined,6.0255
60,You might get a middle seat,2,You'll probably get a middle seat,probably,0.32,0,aisle-negative,./stim/images/33_aisle_60_v8.png,negative,0.68,might,1,undefined,6.0255
40,You might get a middle seat,2,You'll probably get a middle seat,probably,0.12,0,aisle-negative,./stim/images/31_aisle_40_v10.png,negative,0.88,might,1,undefined,6.0255
0,You might get an aisle seat,2,You'll probably get an aisle seat,probably,0,0,aisle-positive,./stim/images/19_aisle_0_v4.png,positive,1,might,1,undefined,6.0255
50,You might get a middle seat,2,You'll probably get a middle seat,probably,0.19000000000000006,0,aisle-negative,./stim/images/32_aisle_50_v4.png,negative,0.81,might,1,undefined,6.0255
50,You might get a middle seat,2,You'll probably get a middle seat,probably,0.24,0,window-negative,./stim/images/14_window_50_v3.png,negative,0.76,might,1,undefined,6.0255
0,You might get a window seat,2,You'll probably get a window seat,probably,0.8,0,window-positive,./stim/images/1_window_0_v1.png,positive,0.19999999999999996,might,1,undefined,6.0255
25,You might get a window seat,2,You'll probably get a window seat,probably,0.85,0,window-positive,./stim/images/3_window_25_v7.png,positive,0.15,might,1,undefined,6.0255
75,You might get a middle seat,2,You'll probably get a middle seat,probably,0.14,0,aisle-negative,./stim/images/34_aisle_75_v4.png,negative,0.86,might,1,undefined,6.0255
100,You might get an aisle seat,2,You'll probably get an aisle seat,probably,1,0,aisle-positive,./stim/images/27_aisle_100_v2.png,positive,0,might,1,undefined,6.0255
10,You might get a middle seat,2,You'll probably get a middle seat,probably,0.22,0,window-negative,./stim/images/11_window_10_v1.png,negative,0.7799999999999999,might,1,undefined,6.0255
100,You might get a window seat,2,You'll probably get a window seat,probably,1,0,window-positive,./stim/images/9_window_100_v5.png,positive,0,might,1,undefined,6.0255
50,You might get a window seat,2,You'll probably get a window seat,probably,0.9300000000000002,0,window-positive,./stim/images/5_window_50_v8.png,positive,0.06999999999999995,might,1,undefined,6.0255
25,You might get a middle seat,2,You'll probably get a middle seat,probably,0.25,0,window-negative,./stim/images/12_window_25_v1.png,negative,0.75,might,1,undefined,6.0255
75,You might get an aisle seat,2,You'll probably get an aisle seat,probably,0.97,0,aisle-positive,./stim/images/25_aisle_75_v2.png,positive,0.029999999999999916,might,1,undefined,6.0255
90,You might get a middle seat,2,You'll probably get a middle seat,probably,0.08999999999999986,0,aisle-negative,./stim/images/35_aisle_90_v5.png,negative,0.91,might,1,undefined,6.0255
10,You might get a window seat,2,You'll probably get a window seat,probably,0.3,0,window-positive,./stim/images/2_window_10_v1.png,positive,0.7,might,1,undefined,6.0255
90,You might get an aisle seat,2,You'll probably get an aisle seat,probably,1,0,aisle-positive,./stim/images/26_aisle_90_v10.png,positive,0,might,1,undefined,6.0255
0,You might get a middle seat,2,You'll probably get a middle seat,probably,1,0,window-negative,./stim/images/10_window_0_v2.png,negative,0,might,1,undefined,6.0255
40,You might get an aisle seat,2,You'll probably get an aisle seat,probably,0.69,0,aisle-positive,./stim/images/22_aisle_40_v5.png,positive,0.31000000000000016,might,1,undefined,6.0255
40,You might get a middle seat,2,You'll probably get a middle seat,probably,0.14,0,window-negative,./stim/images/13_window_40_v9.png,negative,0.86,might,1,undefined,6.0255
10,You might get a middle seat,2,You'll probably get a middle seat,probably,0.42000000000000004,0,aisle-negative,./stim/images/29_aisle_10_v9.png,negative,0.58,might,1,undefined,6.0255
90,You might get a window seat,2,You'll probably get a window seat,probably,0.82,0,window-positive,./stim/images/8_window_90_v9.png,positive,0.18000000000000005,might,1,undefined,6.0255
100,You might get a middle seat,2,You'll probably get a middle seat,probably,0.63,0,window-negative,./stim/images/18_window_100_v2.png,negative,0.37,might,1,undefined,6.0255
0,You might get a middle seat,2,You'll probably get a middle seat,probably,0.68,0,aisle-negative,./stim/images/28_aisle_0_v5.png,negative,0.32000000000000006,might,1,undefined,6.0255
10,You might get an aisle seat,2,You'll probably get an aisle seat,probably,0.82,0,aisle-positive,./stim/images/20_aisle_10_v7.png,positive,0.18000000000000005,might,1,undefined,6.0255
100,You might get a middle seat,2,You'll probably get a middle seat,probably,1.1102230246251565e-16,0,aisle-negative,./stim/images/36_aisle_100_v6.png,negative,1,might,1,undefined,6.0255
90,You might get a middle seat,2,You'll probably get a middle seat,probably,0.16000000000000003,0,window-negative,./stim/images/17_window_90_v3.png,negative,0.84,might,1,undefined,6.0255
40,You might get a window seat,2,You'll probably get a window seat,probably,0.18999999999999995,0,window-positive,./stim/images/4_window_40_v8.png,positive,0.81,might,1,undefined,6.0255
25,You might get a middle seat,2,You'll probably get a middle seat,probably,0.76,0,aisle-negative,./stim/images/30_aisle_25_v1.png,negative,0.24,might,1,undefined,6.0255
75,You might get a window seat,2,You'll probably get a window seat,probably,0.27,0,window-positive,./stim/images/7_window_75_v5.png,positive,0.73,might,1,undefined,6.0255
50,You might get an aisle seat,2,You'll probably get an aisle seat,probably,0.43000000000000005,0,aisle-positive,./stim/images/23_aisle_50_v1.png,positive,0.57,might,1,undefined,6.0255
50,You might get an aisle seat,2,You'll probably get an aisle seat,probably,0.43000000000000005,0,aisle-positive,./stim/images/23_aisle_50_v1.png,positive,0.57,might,1,undefined,6.0255
75,You might get a middle seat,2,You'll probably get a middle seat,probably,0.77,0,window-negative,./stim/images/16_window_75_v9.png,negative,0.22999999999999998,might,1,undefined,6.0255
60,You might get a middle seat,2,You'll probably get a middle seat,probably,0.30000000000000004,0,window-negative,./stim/images/15_window_60_v7.png,negative,0.7,might,1,undefined,6.0255
60,You might get a window seat,2,You'll probably get a window seat,probably,0.32999999999999985,0,window-positive,./stim/images/6_window_60_v2.png,positive,0.67,might,1,undefined,6.0255
,You might get a window seat,3,You'll probably get a window seat,,0.5599999999999999,0,test,./stim/images/4_window_40_v1.png,,0.44000000000000006,,,undefined,9.189433333333334
50,You might get an aisle seat,3,You'll probably get an aisle seat,probably,0.36,0.28000000000000014,aisle-positive,./stim/images/23_aisle_50_v7.png,positive,0.36,might,1,undefined,9.189433333333334
0,You might get a middle seat,3,You'll probably get a middle seat,probably,0,1,window-negative,./stim/images/10_window_0_v7.png,negative,0,might,1,undefined,9.189433333333334
60,You might get a window seat,3,You'll probably get a window seat,probably,0.64,0.21999999999999997,window-positive,./stim/images/6_window_60_v6.png,positive,0.14,might,1,undefined,9.189433333333334
0,You might get an aisle seat,3,You'll probably get an aisle seat,probably,0,1,aisle-positive,./stim/images/19_aisle_0_v5.png,positive,0,might,1,undefined,9.189433333333334
40,You might get a window seat,3,You'll probably get a window seat,probably,0.3900000000000001,0,window-positive,./stim/images/4_window_40_v7.png,positive,0.61,might,1,undefined,9.189433333333334
75,You might get a middle seat,3,You'll probably get a middle seat,probably,0.11,0.13,window-negative,./stim/images/16_window_75_v7.png,negative,0.76,might,1,undefined,9.189433333333334
10,You might get an aisle seat,3,You'll probably get an aisle seat,probably,0.36,0.6400000000000001,aisle-positive,./stim/images/20_aisle_10_v1.png,positive,0,might,1,undefined,9.189433333333334
10,You might get a middle seat,3,You'll probably get a middle seat,probably,0.07,0.9299999999999999,aisle-negative,./stim/images/29_aisle_10_v7.png,negative,0,might,1,undefined,9.189433333333334
40,You might get an aisle seat,3,You'll probably get an aisle seat,probably,0.61,0.22999999999999998,aisle-positive,./stim/images/22_aisle_40_v1.png,positive,0.16,might,1,undefined,9.189433333333334
0,You might get a window seat,3,You'll probably get a window seat,probably,0,1,window-positive,./stim/images/1_window_0_v10.png,positive,0,might,1,undefined,9.189433333333334
25,You might get a middle seat,3,You'll probably get a middle seat,probably,0.12,0.8799999999999999,aisle-negative,./stim/images/30_aisle_25_v7.png,negative,0,might,1,undefined,9.189433333333334
10,You might get a window seat,3,You'll probably get a window seat,probably,0,0,window-positive,./stim/images/2_window_10_v4.png,positive,1,might,1,undefined,9.189433333333334
75,You might get a window seat,3,You'll probably get a window seat,probably,0.64,0.3599999999999999,window-positive,./stim/images/7_window_75_v6.png,positive,0,might,1,undefined,9.189433333333334
75,You might get an aisle seat,3,You'll probably get an aisle seat,probably,0.09,0.030000000000000027,aisle-positive,./stim/images/25_aisle_75_v3.png,positive,0.88,might,1,undefined,9.189433333333334
25,You might get an aisle seat,3,You'll probably get an aisle seat,probably,0.44,0.56,aisle-positive,./stim/images/21_aisle_25_v8.png,positive,0,might,1,undefined,9.189433333333334
40,You might get a middle seat,3,You'll probably get a middle seat,probably,0.56,0.33999999999999997,aisle-negative,./stim/images/31_aisle_40_v2.png,negative,0.1,might,1,undefined,9.189433333333334
40,You might get a middle seat,3,You'll probably get a middle seat,probably,0.61,0.30000000000000016,window-negative,./stim/images/13_window_40_v9.png,negative,0.09,might,1,undefined,9.189433333333334
100,You might get a middle seat,3,You'll probably get a middle seat,probably,0,1,aisle-negative,./stim/images/36_aisle_100_v1.png,negative,0,might,1,undefined,9.189433333333334
0,You might get a middle seat,3,You'll probably get a middle seat,probably,0,1,aisle-negative,./stim/images/28_aisle_0_v7.png,negative,0,might,1,undefined,9.189433333333334
100,You might get a middle seat,3,You'll probably get a middle seat,probably,0,1,window-negative,./stim/images/18_window_100_v3.png,negative,0,might,1,undefined,9.189433333333334
75,You might get a middle seat,3,You'll probably get a middle seat,probably,0.19,0.12000000000000022,aisle-negative,./stim/images/34_aisle_75_v7.png,negative,0.69,might,1,undefined,9.189433333333334
100,You might get an aisle seat,3,You'll probably get an aisle seat,probably,0,1,aisle-positive,./stim/images/27_aisle_100_v1.png,positive,0,might,1,undefined,9.189433333333334
50,You might get a window seat,3,You'll probably get a window seat,probably,0.69,0.20999999999999996,window-positive,./stim/images/5_window_50_v8.png,positive,0.1,might,1,undefined,9.189433333333334
50,You might get a middle seat,3,You'll probably get a middle seat,probably,0.5599999999999999,0.15,aisle-negative,./stim/images/32_aisle_50_v3.png,negative,0.29000000000000015,might,1,undefined,9.189433333333334
10,You might get a middle seat,3,You'll probably get a middle seat,probably,0.09,0.9099999999999999,window-negative,./stim/images/11_window_10_v7.png,negative,0,might,1,undefined,9.189433333333334
100,You might get a window seat,3,You'll probably get a window seat,probably,0,1,window-positive,./stim/images/9_window_100_v1.png,positive,0,might,1,undefined,9.189433333333334
50,You might get a middle seat,3,You'll probably get a middle seat,probably,0.44,0.47,window-negative,./stim/images/14_window_50_v2.png,negative,0.09,might,1,undefined,9.189433333333334
25,You might get a middle seat,3,You'll probably get a middle seat,probably,0.21,0.79,window-negative,./stim/images/12_window_25_v7.png,negative,0,might,1,undefined,9.189433333333334
90,You might get a middle seat,3,You'll probably get a middle seat,probably,0,0.08999999999999986,window-negative,./stim/images/17_window_90_v4.png,negative,0.91,might,1,undefined,9.189433333333334
60,You might get an aisle seat,3,You'll probably get an aisle seat,probably,0.71,0.29000000000000004,aisle-positive,./stim/images/24_aisle_60_v4.png,positive,0,might,1,undefined,9.189433333333334
90,You might get a window seat,3,You'll probably get a window seat,probably,0.11,0.8899999999999999,window-positive,./stim/images/8_window_90_v4.png,positive,0,might,1,undefined,9.189433333333334
25,You might get a window seat,3,You'll probably get a window seat,probably,0,0.16000000000000003,window-positive,./stim/images/3_window_25_v5.png,positive,0.84,might,1,undefined,9.189433333333334
90,You might get a middle seat,3,You'll probably get a middle seat,probably,0,0.56,aisle-negative,./stim/images/35_aisle_90_v8.png,negative,0.43999999999999984,might,1,undefined,9.189433333333334
60,You might get a middle seat,3,You'll probably get a middle seat,probably,0.64,0.3600000000000001,aisle-negative,./stim/images/33_aisle_60_v5.png,negative,0,might,1,undefined,9.189433333333334
90,You might get an aisle seat,3,You'll probably get an aisle seat,probably,0.11,0.8899999999999999,aisle-positive,./stim/images/26_aisle_90_v1.png,positive,0,might,1,undefined,9.189433333333334
60,You might get a middle seat,3,You'll probably get a middle seat,probably,0.54,0.33999999999999986,window-negative,./stim/images/15_window_60_v4.png,negative,0.12,might,1,undefined,9.189433333333334
