check2,workerid,request,seat,mood,modal,audio,check1,prob_rating,order,image,condtion,catch_trial,text
./stim/images/exposure_60_1.png,0,./stim/text/text-1.png,a window seat (red),pessimist,probably,./stim/audio/angry_probably1_s2.mp3,./stim/images/prob_100_1.png,0.5,1,./stim/images/exposure_60_1.png,6,1,You'll probably get one.
./stim/images/prob_100_1.png,0,./stim/text/text-1.png,a window seat (red),pessimist,bare,./stim/audio/angry_bare_s2.mp3,./stim/images/exposure_60_6.png,1,1,./stim/images/prob_100_1.png,6,0,You'll get one.
./stim/images/exposure_60_6.png,0,./stim/text/text-1.png,a window seat (red),pessimist,probably,./stim/audio/angry_probably1_s2.mp3,./stim/images/prob_100_1.png,0.47,1,./stim/images/exposure_60_6.png,6,0,You'll probably get one.
./stim/images/exposure_40_5.png,0,./stim/text/text-2.png,an aisle seat (blue),pessimist,probably,./stim/audio/angry_probably2_s2.mp3,./stim/images/prob_100_1.png,0.4,1,./stim/images/exposure_40_5.png,6,0,You'll probably get one.
./stim/images/exposure_60_5.png,0,./stim/text/text-1.png,a window seat (red),pessimist,bare,./stim/audio/angry_bare_s2.mp3,./stim/images/prob_100_1.png,1,0,./stim/images/prob_100_1.png,6,0,You'll get one.
./stim/images/exposure_60_1.png,0,./stim/text/text-1.png,a window seat (red),pessimist,bare,./stim/audio/angry_bare_s2.mp3,./stim/images/prob_100_1.png,1,0,./stim/images/prob_100_1.png,6,1,You'll get one.
./stim/images/exposure_90_5.png,0,./stim/text/text-1.png,a window seat (red),pessimist,might,./stim/audio/angry_might1_s2.mp3,./stim/images/exposure_25_5.png,0.26,0,./stim/images/exposure_25_5.png,6,0,You might get one.
./stim/images/exposure_75_1.png,0,./stim/text/text-2.png,an aisle seat (blue),pessimist,might,./stim/audio/angry_might2_s2.mp3,./stim/images/exposure_10_1.png,0.21,1,./stim/images/exposure_75_1.png,6,1,You might get one.
./stim/images/exposure_75_6.png,0,./stim/text/text-2.png,an aisle seat (blue),pessimist,might,./stim/audio/angry_might2_s2.mp3,./stim/images/exposure_10_6.png,0.25,1,./stim/images/exposure_75_6.png,6,0,You might get one.
./stim/images/exposure_10_5.png,0,./stim/text/text-2.png,an aisle seat (blue),pessimist,might,./stim/audio/angry_might2_s2.mp3,./stim/images/exposure_75_5.png,0.26,0,./stim/images/exposure_75_5.png,6,0,You might get one.
./stim/images/exposure_90_1.png,0,./stim/text/text-1.png,a window seat (red),pessimist,might,./stim/audio/angry_might1_s2.mp3,./stim/images/exposure_25_1.png,0.27,0,./stim/images/exposure_25_1.png,6,1,You might get one.
./stim/images/prob_100_1.png,0,./stim/text/text-2.png,an aisle seat (blue),pessimist,probably,./stim/audio/angry_probably2_s2.mp3,./stim/images/exposure_40_1.png,0.59,0,./stim/images/exposure_40_1.png,6,1,You'll probably get one.
./stim/images/exposure_60_5.png,0,./stim/text/text-1.png,a window seat (red),pessimist,probably,./stim/audio/angry_probably1_s2.mp3,./stim/images/prob_100_1.png,0.44,1,./stim/images/exposure_60_5.png,6,0,You'll probably get one.
./stim/images/exposure_75_2.png,1,./stim/text/text-2.png,an aisle seat (blue),pessimist,might,./stim/audio/angry_might2_s1.mp3,./stim/images/exposure_10_2.png,0.46,1,./stim/images/exposure_75_2.png,6,0,You might get one.
./stim/images/exposure_10_7.png,1,./stim/text/text-2.png,an aisle seat (blue),pessimist,might,./stim/audio/angry_might2_s1.mp3,./stim/images/exposure_75_7.png,0.33,0,./stim/images/exposure_75_7.png,6,0,You might get one.
./stim/images/prob_100_1.png,1,./stim/text/text-1.png,a window seat (red),pessimist,probably,./stim/audio/angry_probably1_s1.mp3,./stim/images/exposure_60_7.png,0.45,0,./stim/images/exposure_60_7.png,6,0,You'll probably get one.
./stim/images/prob_100_1.png,1,./stim/text/text-2.png,an aisle seat (blue),pessimist,probably,./stim/audio/angry_probably2_s1.mp3,./stim/images/exposure_40_7.png,0.76,0,./stim/images/exposure_40_7.png,6,0,You'll probably get one.
./stim/images/exposure_40_1.png,1,./stim/text/text-2.png,an aisle seat (blue),pessimist,probably,./stim/audio/angry_probably2_s1.mp3,./stim/images/prob_100_1.png,0.72,1,./stim/images/exposure_40_1.png,6,1,You'll probably get one.
./stim/images/exposure_90_7.png,1,./stim/text/text-1.png,a window seat (red),pessimist,might,./stim/audio/angry_might1_s1.mp3,./stim/images/exposure_25_7.png,0.69,0,./stim/images/exposure_25_7.png,6,0,You might get one.
./stim/images/exposure_75_1.png,1,./stim/text/text-2.png,an aisle seat (blue),pessimist,might,./stim/audio/angry_might2_s1.mp3,./stim/images/exposure_10_1.png,0.81,1,./stim/images/exposure_75_1.png,6,1,You might get one.
./stim/images/exposure_60_1.png,1,./stim/text/text-1.png,a window seat (red),pessimist,bare,./stim/audio/angry_bare_s1.mp3,./stim/images/prob_100_1.png,0.66,0,./stim/images/prob_100_1.png,6,1,You'll get one.
./stim/images/exposure_60_2.png,1,./stim/text/text-1.png,a window seat (red),pessimist,bare,./stim/audio/angry_bare_s1.mp3,./stim/images/prob_100_1.png,0.72,0,./stim/images/prob_100_1.png,6,0,You'll get one.
./stim/images/exposure_60_1.png,1,./stim/text/text-1.png,a window seat (red),pessimist,probably,./stim/audio/angry_probably1_s1.mp3,./stim/images/prob_100_1.png,0.72,1,./stim/images/exposure_60_1.png,6,1,You'll probably get one.
./stim/images/exposure_25_1.png,1,./stim/text/text-1.png,a window seat (red),pessimist,might,./stim/audio/angry_might1_s1.mp3,./stim/images/exposure_90_1.png,0.62,1,./stim/images/exposure_25_1.png,6,1,You might get one.
./stim/images/prob_100_1.png,1,./stim/text/text-1.png,a window seat (red),pessimist,probably,./stim/audio/angry_probably1_s1.mp3,./stim/images/exposure_60_2.png,0.57,0,./stim/images/exposure_60_2.png,6,0,You'll probably get one.
./stim/images/exposure_60_7.png,1,./stim/text/text-1.png,a window seat (red),pessimist,bare,./stim/audio/angry_bare_s1.mp3,./stim/images/prob_100_1.png,0.67,0,./stim/images/prob_100_1.png,6,0,You'll get one.
